05/11/15,DATE.,PARTY NAME,PARTY MOULD NO.,MOULD DETAIL,CAVITY,TYPE'S OF MOULD,PART NAME,DWG.NO.,CHALLAN NO.,DIS.DATE,,
497,11.1.2014,REAL WIRE CUT,,,1,,IMPERALL DIE,,365,12.1.2014,,
498,10.1.2014,GANESH DIE,,NEW,4,,,,371,17.1.2014,,
499,10.1.2014,GANESH DIE,,NEW,2,,,,371,17.1.2014,,
500,10.1.2014,GANESH DIE,,NEW,2,,,,371,17.1.2014,,
501,15.1.2014,INTOL CAST,,NEW,8,AUTOMATIC,"1 1/2"" TRIANGLE CUP",,,,,
502,15.1.2014,INTOL CAST,5031A,REWORK,1,AUTOMATIC,,,372,,,
503,15.1.2014,INTOL CAST,5032A,REWORK,1,AUTOMATIC,,,373,,,
504,15.1.2014,INTOL CAST,5033A,REWORK,1,AUTOMATIC,,,374,,,
505,15.1.2014,INTOL CAST,5733,REWORK,,AUTOMATIC,,,,,,
506,15.1.2014,INTOL CAST,5734,REWORK,,AUTOMATIC,,,,,,
507,15.1.2014,INTOL CAST,5735,REWORK,,AUTOMATIC,,,,,,
508,16.1.2014,INTOL CAST,6156A,NEW,6,AUTOMATIC,"CHECK VALVE 80mm CLASS 125,150 & 300",DP-0080-X-PL-X-2-0,,,,
509,16.1.2014,INTOL CAST,6157A,NEW,6,AUTOMATIC,PLATE (DPCV) 0050 # 600,DP-0050-X-PL-X-4-0,,,,
510,16.1.2014,INTOL CAST,6158A,NEW,6,AUTOMATIC,PLATE (DPCV) 0080 # 600,DP-0080-F-PL-X-2-0,,,,
511,16.1.2014,INTOL CAST,6097A,NEW,2,AUTOMATIC,TLV PUNPING TRAP,A1883-20-1-SOZAI,,,,
512,16.1.2014,PIONEER ENGINEERING,,NEW,,,CNC ROUND PLATE,,,,,
513,,SOHAMAX AUTOMATION,9449,,2,MANUAL,BODY-0.75,,,,,
